Rule: {704} -> frozenset({825}), Confidence: 0.61
Rule: {704} -> frozenset({39}), Confidence: 0.62
Rule: {515} -> frozenset({283}), Confidence: 0.72
Rule: {458} -> frozenset({208}), Confidence: 0.71
Rule: {515} -> frozenset({217}), Confidence: 0.72
Rule: {458} -> frozenset({290}), Confidence: 0.70
Rule: {458} -> frozenset({888}), Confidence: 0.71
Rule: {819} -> frozenset({70}), Confidence: 0.63
Rule: {678} -> frozenset({471}), Confidence: 0.61
Rule: {819} -> frozenset({684}), Confidence: 0.64
Rule: {515} -> frozenset({346}), Confidence: 0.73
Rule: {819} -> frozenset({765}), Confidence: 0.63
Rule: {515} -> frozenset({33}), Confidence: 0.71
Rule: {368, 937} -> frozenset({57}), Confidence: 0.62
Rule: {368, 57} -> frozenset({937}), Confidence: 0.76
Rule: {368, 494} -> frozenset({682}), Confidence: 0.69
Rule: {682, 494} -> frozenset({368}), Confidence: 0.83
Rule: {368, 296} -> frozenset({829}), Confidence: 0.79
Rule: {296, 829} -> frozenset({368}), Confidence: 0.68
Rule: {888, 561} -> frozenset({217}), Confidence: 0.62
Rule: {888, 217} -> frozenset({561}), Confidence: 0.78
Rule: {561, 217} -> frozenset({888}), Confidence: 0.81
Rule: {561, 346} -> frozenset({217}), Confidence: 0.64
Rule: {561, 217} -> frozenset({346}), Confidence: 0.82
Rule: {888, 561} -> frozenset({346}), Confidence: 0.89
Rule: {888, 346} -> frozenset({561}), Confidence: 0.88
Rule: {561, 346} -> frozenset({888}), Confidence: 0.91
Rule: {704, 825} -> frozenset({39}), Confidence: 0.94
Rule: {704, 39} -> frozenset({825}), Confidence: 0.93
Rule: {825, 39} -> frozenset({704}), Confidence: 0.87
Rule: {419, 39} -> frozenset({145}), Confidence: 0.69
Rule: {120, 862} -> frozenset({895}), Confidence: 0.86
Rule: {120, 895} -> frozenset({862}), Confidence: 0.83
Rule: {862, 895} -> frozenset({120}), Confidence: 0.90
Rule: {120, 593} -> frozenset({895}), Confidence: 0.90
Rule: {120, 895} -> frozenset({593}), Confidence: 0.85
Rule: {593, 895} -> frozenset({120}), Confidence: 0.92
Rule: {120, 90} -> frozenset({620}), Confidence: 0.88
Rule: {120, 620} -> frozenset({90}), Confidence: 0.90
Rule: {90, 620} -> frozenset({120}), Confidence: 0.84
Rule: {120, 793} -> frozenset({620}), Confidence: 0.83
Rule: {120, 620} -> frozenset({793}), Confidence: 0.89
Rule: {793, 620} -> frozenset({120}), Confidence: 0.88
Rule: {120, 620} -> frozenset({510}), Confidence: 0.87
Rule: {120, 510} -> frozenset({620}), Confidence: 0.82
Rule: {620, 510} -> frozenset({120}), Confidence: 0.87
Rule: {120, 620} -> frozenset({309}), Confidence: 0.90
Rule: {120, 309} -> frozenset({620}), Confidence: 0.92
Rule: {620, 309} -> frozenset({120}), Confidence: 0.92
Rule: {120, 593} -> frozenset({862}), Confidence: 0.89
Rule: {120, 862} -> frozenset({593}), Confidence: 0.86
Rule: {593, 862} -> frozenset({120}), Confidence: 0.93
Rule: {120, 132} -> frozenset({638}), Confidence: 0.81
Rule: {120, 638} -> frozenset({132}), Confidence: 0.83
Rule: {132, 638} -> frozenset({120}), Confidence: 0.77
Rule: {120, 132} -> frozenset({12}), Confidence: 0.82
Rule: {120, 12} -> frozenset({132}), Confidence: 0.84
Rule: {120, 793} -> frozenset({90}), Confidence: 0.83
Rule: {120, 90} -> frozenset({793}), Confidence: 0.87
Rule: {793, 90} -> frozenset({120}), Confidence: 0.87
Rule: {120, 90} -> frozenset({510}), Confidence: 0.85
Rule: {120, 510} -> frozenset({90}), Confidence: 0.82
Rule: {90, 510} -> frozenset({120}), Confidence: 0.88
Rule: {120, 90} -> frozenset({309}), Confidence: 0.89
Rule: {120, 309} -> frozenset({90}), Confidence: 0.93
