Round 0	Edge-Cut 9536	Swaps 4720	Migrations 3184
Round 1	Edge-Cut 9012	Swaps 9440	Migrations 3163
Round 2	Edge-Cut 8761	Swaps 14160	Migrations 3250
Round 3	Edge-Cut 8521	Swaps 18880	Migrations 3329
Round 4	Edge-Cut 8411	Swaps 23600	Migrations 3259
Round 5	Edge-Cut 8143	Swaps 28320	Migrations 3298
Round 6	Edge-Cut 8010	Swaps 33040	Migrations 3349
Round 7	Edge-Cut 7785	Swaps 37760	Migrations 3338
Round 8	Edge-Cut 7635	Swaps 42480	Migrations 3332
Round 9	Edge-Cut 7538	Swaps 47200	Migrations 3303
Round 10	Edge-Cut 7440	Swaps 51920	Migrations 3346
Round 11	Edge-Cut 7418	Swaps 56640	Migrations 3395
Round 12	Edge-Cut 7327	Swaps 61360	Migrations 3363
Round 13	Edge-Cut 7154	Swaps 66080	Migrations 3379
Round 14	Edge-Cut 7012	Swaps 70800	Migrations 3373
Round 15	Edge-Cut 6854	Swaps 75520	Migrations 3365
Round 16	Edge-Cut 6872	Swaps 80240	Migrations 3429
Round 17	Edge-Cut 6928	Swaps 84960	Migrations 3373
Round 18	Edge-Cut 6785	Swaps 89680	Migrations 3370
Round 19	Edge-Cut 6736	Swaps 94400	Migrations 3416
Round 20	Edge-Cut 6598	Swaps 99120	Migrations 3421
Round 21	Edge-Cut 6603	Swaps 103840	Migrations 3404
Round 22	Edge-Cut 6506	Swaps 108560	Migrations 3397
Round 23	Edge-Cut 6527	Swaps 113280	Migrations 3365
Round 24	Edge-Cut 6462	Swaps 118000	Migrations 3385
Round 25	Edge-Cut 6411	Swaps 122720	Migrations 3387
Round 26	Edge-Cut 6351	Swaps 127440	Migrations 3409
Round 27	Edge-Cut 6360	Swaps 132160	Migrations 3403
Round 28	Edge-Cut 6323	Swaps 136880	Migrations 3377
Round 29	Edge-Cut 6195	Swaps 141600	Migrations 3384
Round 30	Edge-Cut 6145	Swaps 146320	Migrations 3405
Round 31	Edge-Cut 6118	Swaps 151040	Migrations 3435
Round 32	Edge-Cut 5984	Swaps 155760	Migrations 3440
Round 33	Edge-Cut 6109	Swaps 160480	Migrations 3467
Round 34	Edge-Cut 6086	Swaps 165200	Migrations 3414
Round 35	Edge-Cut 6122	Swaps 169920	Migrations 3443
Round 36	Edge-Cut 6077	Swaps 174640	Migrations 3406
Round 37	Edge-Cut 5973	Swaps 179360	Migrations 3439
Round 38	Edge-Cut 6017	Swaps 184080	Migrations 3435
Round 39	Edge-Cut 5983	Swaps 188800	Migrations 3439
Round 40	Edge-Cut 5915	Swaps 193520	Migrations 3412
Round 41	Edge-Cut 5820	Swaps 198240	Migrations 3435
Round 42	Edge-Cut 5741	Swaps 202960	Migrations 3457
Round 43	Edge-Cut 5741	Swaps 207680	Migrations 3468
Round 44	Edge-Cut 5712	Swaps 212400	Migrations 3480
Round 45	Edge-Cut 5714	Swaps 217120	Migrations 3455
Round 46	Edge-Cut 5678	Swaps 221840	Migrations 3429
Round 47	Edge-Cut 5656	Swaps 226560	Migrations 3420
Round 48	Edge-Cut 5621	Swaps 231280	Migrations 3427
Round 49	Edge-Cut 5569	Swaps 236000	Migrations 3410
Round 50	Edge-Cut 5525	Swaps 240720	Migrations 3459
Round 51	Edge-Cut 5493	Swaps 245440	Migrations 3425
Round 52	Edge-Cut 5528	Swaps 250160	Migrations 3423
Round 53	Edge-Cut 5387	Swaps 254880	Migrations 3448
Round 54	Edge-Cut 5368	Swaps 259600	Migrations 3438
Round 55	Edge-Cut 5229	Swaps 264320	Migrations 3429
Round 56	Edge-Cut 5359	Swaps 269040	Migrations 3464
Round 57	Edge-Cut 5302	Swaps 273760	Migrations 3435
Round 58	Edge-Cut 5278	Swaps 278480	Migrations 3404
Round 59	Edge-Cut 5223	Swaps 283200	Migrations 3420
Round 60	Edge-Cut 5182	Swaps 287920	Migrations 3432
Round 61	Edge-Cut 5238	Swaps 292640	Migrations 3440
Round 62	Edge-Cut 5162	Swaps 297360	Migrations 3458
Round 63	Edge-Cut 5191	Swaps 302080	Migrations 3449
Round 64	Edge-Cut 5228	Swaps 306800	Migrations 3418
Round 65	Edge-Cut 5127	Swaps 311520	Migrations 3480
Round 66	Edge-Cut 5199	Swaps 316240	Migrations 3416
Round 67	Edge-Cut 5153	Swaps 320960	Migrations 3448
Round 68	Edge-Cut 5131	Swaps 325680	Migrations 3421
Round 69	Edge-Cut 5182	Swaps 330400	Migrations 3421
Round 70	Edge-Cut 5158	Swaps 335120	Migrations 3444
Round 71	Edge-Cut 5164	Swaps 339840	Migrations 3465
Round 72	Edge-Cut 5237	Swaps 344560	Migrations 3437
Round 73	Edge-Cut 5210	Swaps 349280	Migrations 3427
Round 74	Edge-Cut 5252	Swaps 354000	Migrations 3411
Round 75	Edge-Cut 5298	Swaps 358720	Migrations 3426
Round 76	Edge-Cut 5248	Swaps 363440	Migrations 3392
Round 77	Edge-Cut 5182	Swaps 368160	Migrations 3424
Round 78	Edge-Cut 5201	Swaps 372880	Migrations 3426
Round 79	Edge-Cut 5185	Swaps 377600	Migrations 3462
Round 80	Edge-Cut 5264	Swaps 382320	Migrations 3455
Round 81	Edge-Cut 5146	Swaps 387040	Migrations 3411
Round 82	Edge-Cut 5161	Swaps 391760	Migrations 3442
Round 83	Edge-Cut 5222	Swaps 396480	Migrations 3435
Round 84	Edge-Cut 5234	Swaps 401200	Migrations 3431
Round 85	Edge-Cut 5200	Swaps 405920	Migrations 3441
Round 86	Edge-Cut 5183	Swaps 410640	Migrations 3466
Round 87	Edge-Cut 5191	Swaps 415360	Migrations 3441
Round 88	Edge-Cut 5194	Swaps 420080	Migrations 3410
Round 89	Edge-Cut 5146	Swaps 424800	Migrations 3459
Round 90	Edge-Cut 5106	Swaps 429520	Migrations 3438
Round 91	Edge-Cut 5105	Swaps 434240	Migrations 3439
Round 92	Edge-Cut 5070	Swaps 438960	Migrations 3452
Round 93	Edge-Cut 5008	Swaps 443680	Migrations 3459
Round 94	Edge-Cut 5056	Swaps 448400	Migrations 3486
Round 95	Edge-Cut 5065	Swaps 453120	Migrations 3450
