Round 0	Edge-Cut 9627	Swaps 4720	Migrations 3160
Round 1	Edge-Cut 9310	Swaps 9440	Migrations 3173
Round 2	Edge-Cut 9101	Swaps 14160	Migrations 3250
Round 3	Edge-Cut 8944	Swaps 18880	Migrations 3311
Round 4	Edge-Cut 8765	Swaps 23600	Migrations 3357
Round 5	Edge-Cut 8628	Swaps 28320	Migrations 3340
Round 6	Edge-Cut 8503	Swaps 33040	Migrations 3363
Round 7	Edge-Cut 8354	Swaps 37760	Migrations 3367
Round 8	Edge-Cut 8237	Swaps 42480	Migrations 3407
Round 9	Edge-Cut 8031	Swaps 47200	Migrations 3439
Round 10	Edge-Cut 7895	Swaps 51920	Migrations 3411
Round 11	Edge-Cut 7714	Swaps 56640	Migrations 3413
Round 12	Edge-Cut 7514	Swaps 61360	Migrations 3438
Round 13	Edge-Cut 7402	Swaps 66080	Migrations 3400
Round 14	Edge-Cut 7230	Swaps 70800	Migrations 3417
Round 15	Edge-Cut 7114	Swaps 75520	Migrations 3439
Round 16	Edge-Cut 7078	Swaps 80240	Migrations 3377
Round 17	Edge-Cut 7018	Swaps 84960	Migrations 3364
Round 18	Edge-Cut 6949	Swaps 89680	Migrations 3396
Round 19	Edge-Cut 6868	Swaps 94400	Migrations 3405
Round 20	Edge-Cut 6724	Swaps 99120	Migrations 3372
Round 21	Edge-Cut 6700	Swaps 103840	Migrations 3352
Round 22	Edge-Cut 6612	Swaps 108560	Migrations 3346
Round 23	Edge-Cut 6612	Swaps 113280	Migrations 3404
Round 24	Edge-Cut 6622	Swaps 118000	Migrations 3375
Round 25	Edge-Cut 6686	Swaps 122720	Migrations 3369
Round 26	Edge-Cut 6606	Swaps 127440	Migrations 3388
Round 27	Edge-Cut 6506	Swaps 132160	Migrations 3375
Round 28	Edge-Cut 6433	Swaps 136880	Migrations 3405
Round 29	Edge-Cut 6393	Swaps 141600	Migrations 3386
Round 30	Edge-Cut 6315	Swaps 146320	Migrations 3383
Round 31	Edge-Cut 6333	Swaps 151040	Migrations 3381
Round 32	Edge-Cut 6314	Swaps 155760	Migrations 3390
Round 33	Edge-Cut 6276	Swaps 160480	Migrations 3409
Round 34	Edge-Cut 6187	Swaps 165200	Migrations 3402
Round 35	Edge-Cut 6104	Swaps 169920	Migrations 3402
Round 36	Edge-Cut 6154	Swaps 174640	Migrations 3425
Round 37	Edge-Cut 6140	Swaps 179360	Migrations 3381
Round 38	Edge-Cut 6102	Swaps 184080	Migrations 3406
Round 39	Edge-Cut 6077	Swaps 188800	Migrations 3377
Round 40	Edge-Cut 5975	Swaps 193520	Migrations 3398
Round 41	Edge-Cut 5973	Swaps 198240	Migrations 3415
Round 42	Edge-Cut 5992	Swaps 202960	Migrations 3410
Round 43	Edge-Cut 5915	Swaps 207680	Migrations 3392
Round 44	Edge-Cut 5892	Swaps 212400	Migrations 3411
Round 45	Edge-Cut 5899	Swaps 217120	Migrations 3450
Round 46	Edge-Cut 5822	Swaps 221840	Migrations 3398
Round 47	Edge-Cut 5926	Swaps 226560	Migrations 3426
Round 48	Edge-Cut 5860	Swaps 231280	Migrations 3441
Round 49	Edge-Cut 5814	Swaps 236000	Migrations 3434
Round 50	Edge-Cut 5769	Swaps 240720	Migrations 3380
Round 51	Edge-Cut 5721	Swaps 245440	Migrations 3397
Round 52	Edge-Cut 5667	Swaps 250160	Migrations 3373
Round 53	Edge-Cut 5568	Swaps 254880	Migrations 3401
Round 54	Edge-Cut 5558	Swaps 259600	Migrations 3408
Round 55	Edge-Cut 5611	Swaps 264320	Migrations 3415
Round 56	Edge-Cut 5509	Swaps 269040	Migrations 3410
Round 57	Edge-Cut 5536	Swaps 273760	Migrations 3398
Round 58	Edge-Cut 5515	Swaps 278480	Migrations 3421
Round 59	Edge-Cut 5521	Swaps 283200	Migrations 3397
Round 60	Edge-Cut 5417	Swaps 287920	Migrations 3446
Round 61	Edge-Cut 5368	Swaps 292640	Migrations 3444
Round 62	Edge-Cut 5473	Swaps 297360	Migrations 3425
Round 63	Edge-Cut 5532	Swaps 302080	Migrations 3434
Round 64	Edge-Cut 5432	Swaps 306800	Migrations 3421
Round 65	Edge-Cut 5402	Swaps 311520	Migrations 3397
Round 66	Edge-Cut 5397	Swaps 316240	Migrations 3424
Round 67	Edge-Cut 5430	Swaps 320960	Migrations 3423
Round 68	Edge-Cut 5348	Swaps 325680	Migrations 3426
