Round 0	Edge-Cut 5518	Swaps 2395	Migrations 1974
Round 1	Edge-Cut 5608	Swaps 4790	Migrations 1717
Round 2	Edge-Cut 5578	Swaps 7185	Migrations 1798
Round 3	Edge-Cut 5624	Swaps 9580	Migrations 1791
Round 4	Edge-Cut 5540	Swaps 11975	Migrations 1778
Round 5	Edge-Cut 5515	Swaps 14370	Migrations 1784
Round 6	Edge-Cut 5578	Swaps 16765	Migrations 1791
Round 7	Edge-Cut 5510	Swaps 19160	Migrations 1815
Round 8	Edge-Cut 5493	Swaps 21555	Migrations 1773
Round 9	Edge-Cut 5456	Swaps 23950	Migrations 1802
Round 10	Edge-Cut 5401	Swaps 26345	Migrations 1797
Round 11	Edge-Cut 5414	Swaps 28740	Migrations 1808
Round 12	Edge-Cut 5442	Swaps 31135	Migrations 1741
Round 13	Edge-Cut 5412	Swaps 33530	Migrations 1776
Round 14	Edge-Cut 5408	Swaps 35925	Migrations 1771
Round 15	Edge-Cut 5383	Swaps 38320	Migrations 1790
Round 16	Edge-Cut 5362	Swaps 40715	Migrations 1801
Round 17	Edge-Cut 5405	Swaps 43110	Migrations 1778
Round 18	Edge-Cut 5393	Swaps 45505	Migrations 1793
Round 19	Edge-Cut 5342	Swaps 47900	Migrations 1798
Round 20	Edge-Cut 5453	Swaps 50295	Migrations 1745
Round 21	Edge-Cut 5428	Swaps 52690	Migrations 1791
Round 22	Edge-Cut 5425	Swaps 55085	Migrations 1811
Round 23	Edge-Cut 5364	Swaps 57480	Migrations 1797
Round 24	Edge-Cut 5303	Swaps 59875	Migrations 1846
Round 25	Edge-Cut 5377	Swaps 62270	Migrations 1797
Round 26	Edge-Cut 5365	Swaps 64665	Migrations 1793
Round 27	Edge-Cut 5443	Swaps 67060	Migrations 1775
Round 28	Edge-Cut 5415	Swaps 69455	Migrations 1790
Round 29	Edge-Cut 5384	Swaps 71850	Migrations 1802
Round 30	Edge-Cut 5331	Swaps 74245	Migrations 1769
Round 31	Edge-Cut 5340	Swaps 76640	Migrations 1795
Round 32	Edge-Cut 5362	Swaps 79035	Migrations 1824
Round 33	Edge-Cut 5428	Swaps 81430	Migrations 1811
Round 34	Edge-Cut 5376	Swaps 83825	Migrations 1813
Round 35	Edge-Cut 5398	Swaps 86220	Migrations 1784
Round 36	Edge-Cut 5375	Swaps 88615	Migrations 1786
Round 37	Edge-Cut 5355	Swaps 91010	Migrations 1793
Round 38	Edge-Cut 5305	Swaps 93405	Migrations 1800
Round 39	Edge-Cut 5281	Swaps 95800	Migrations 1789
Round 40	Edge-Cut 5327	Swaps 98195	Migrations 1806
Round 41	Edge-Cut 5280	Swaps 100590	Migrations 1797
Round 42	Edge-Cut 5378	Swaps 102985	Migrations 1799
Round 43	Edge-Cut 5353	Swaps 105380	Migrations 1755
Round 44	Edge-Cut 5374	Swaps 107775	Migrations 1787
Round 45	Edge-Cut 5343	Swaps 110170	Migrations 1784
Round 46	Edge-Cut 5387	Swaps 112565	Migrations 1793
Round 47	Edge-Cut 5355	Swaps 114960	Migrations 1790
Round 48	Edge-Cut 5315	Swaps 117355	Migrations 1790
Round 49	Edge-Cut 5357	Swaps 119750	Migrations 1781
Round 50	Edge-Cut 5350	Swaps 122145	Migrations 1767
Round 51	Edge-Cut 5358	Swaps 124540	Migrations 1807
Round 52	Edge-Cut 5374	Swaps 126935	Migrations 1778
Round 53	Edge-Cut 5331	Swaps 129330	Migrations 1791
Round 54	Edge-Cut 5414	Swaps 131725	Migrations 1777
Round 55	Edge-Cut 5362	Swaps 134120	Migrations 1784
Round 56	Edge-Cut 5319	Swaps 136515	Migrations 1792
Round 57	Edge-Cut 5385	Swaps 138910	Migrations 1776
Round 58	Edge-Cut 5369	Swaps 141305	Migrations 1824
Round 59	Edge-Cut 5260	Swaps 143700	Migrations 1788
