Round 0	Edge-Cut 597958	Swaps 63731	Migrations 46969
Round 1	Edge-Cut 596359	Swaps 127462	Migrations 47812
Round 2	Edge-Cut 595848	Swaps 191193	Migrations 47691
Round 3	Edge-Cut 596546	Swaps 254924	Migrations 47767
Round 4	Edge-Cut 594650	Swaps 318655	Migrations 47836
Round 5	Edge-Cut 596488	Swaps 382386	Migrations 47802
Round 6	Edge-Cut 596444	Swaps 446117	Migrations 47908
Round 7	Edge-Cut 596270	Swaps 509848	Migrations 47812
Round 8	Edge-Cut 596595	Swaps 573579	Migrations 47826
Round 9	Edge-Cut 595716	Swaps 637310	Migrations 47776
Round 10	Edge-Cut 596023	Swaps 701041	Migrations 47741
Round 11	Edge-Cut 596343	Swaps 764772	Migrations 47693
Round 12	Edge-Cut 596193	Swaps 828503	Migrations 47674
Round 13	Edge-Cut 596290	Swaps 892234	Migrations 47847
Round 14	Edge-Cut 596326	Swaps 955965	Migrations 47903
Round 15	Edge-Cut 595061	Swaps 1019696	Migrations 47871
Round 16	Edge-Cut 595687	Swaps 1083427	Migrations 47675
Round 17	Edge-Cut 596656	Swaps 1147158	Migrations 47801
Round 18	Edge-Cut 597074	Swaps 1210889	Migrations 47698
Round 19	Edge-Cut 596849	Swaps 1274620	Migrations 47543
Round 20	Edge-Cut 596240	Swaps 1338351	Migrations 47722
Round 21	Edge-Cut 596016	Swaps 1402082	Migrations 47892
Round 22	Edge-Cut 596358	Swaps 1465813	Migrations 47679
Round 23	Edge-Cut 596289	Swaps 1529544	Migrations 47860
Round 24	Edge-Cut 597213	Swaps 1593275	Migrations 47830
Round 25	Edge-Cut 595826	Swaps 1657006	Migrations 47978
Round 26	Edge-Cut 596109	Swaps 1720737	Migrations 47585
Round 27	Edge-Cut 596620	Swaps 1784468	Migrations 47901
Round 28	Edge-Cut 594199	Swaps 1848199	Migrations 47790
Round 29	Edge-Cut 594381	Swaps 1911930	Migrations 47908
Round 30	Edge-Cut 595385	Swaps 1975661	Migrations 47796
Round 31	Edge-Cut 597066	Swaps 2039392	Migrations 47732
Round 32	Edge-Cut 594395	Swaps 2103123	Migrations 47831
Round 33	Edge-Cut 594689	Swaps 2166854	Migrations 47634
Round 34	Edge-Cut 594759	Swaps 2230585	Migrations 47847
Round 35	Edge-Cut 592860	Swaps 2294316	Migrations 47770
Round 36	Edge-Cut 594071	Swaps 2358047	Migrations 47901
Round 37	Edge-Cut 593096	Swaps 2421778	Migrations 47823
Round 38	Edge-Cut 595165	Swaps 2485509	Migrations 47936
Round 39	Edge-Cut 594619	Swaps 2549240	Migrations 47636
Round 40	Edge-Cut 595521	Swaps 2612971	Migrations 47840
Round 41	Edge-Cut 593273	Swaps 2676702	Migrations 47968
Round 42	Edge-Cut 594353	Swaps 2740433	Migrations 47688
Round 43	Edge-Cut 595172	Swaps 2804164	Migrations 47853
Round 44	Edge-Cut 595235	Swaps 2867895	Migrations 48006
Round 45	Edge-Cut 596076	Swaps 2931626	Migrations 47881
Round 46	Edge-Cut 597022	Swaps 2995357	Migrations 47616
Round 47	Edge-Cut 595754	Swaps 3059088	Migrations 47751
Round 48	Edge-Cut 596577	Swaps 3122819	Migrations 47865
Round 49	Edge-Cut 594712	Swaps 3186550	Migrations 47811
Round 50	Edge-Cut 594828	Swaps 3250281	Migrations 47886
Round 51	Edge-Cut 594722	Swaps 3314012	Migrations 47797
Round 52	Edge-Cut 594784	Swaps 3377743	Migrations 47867
Round 53	Edge-Cut 596248	Swaps 3441474	Migrations 47784
Round 54	Edge-Cut 595085	Swaps 3505205	Migrations 47781
Round 55	Edge-Cut 594736	Swaps 3568936	Migrations 47886
Round 56	Edge-Cut 595131	Swaps 3632667	Migrations 47784
Round 57	Edge-Cut 596782	Swaps 3696398	Migrations 47635
Round 58	Edge-Cut 595366	Swaps 3760129	Migrations 47719
Round 59	Edge-Cut 596350	Swaps 3823860	Migrations 47725
Round 60	Edge-Cut 595935	Swaps 3887591	Migrations 47786
Round 61	Edge-Cut 597044	Swaps 3951322	Migrations 47893
Round 62	Edge-Cut 595624	Swaps 4015053	Migrations 47846
Round 63	Edge-Cut 596279	Swaps 4078784	Migrations 47581
